T0 P0 
T1 P1 Z14.3073 D8 
T2 P2 Z33.3148 
T3 P3 Z14.3295 
T99 P99 Z98.3793 ;added 20200905 
T22 P22 Z65.28 ;added 20200923 
T10 P10 Z26.5768 ;added 20200923 
T4 P4 Z16.5814 ;added 20201003 
T15 P15 Z26.5725 ;added 20201018 
T14 P14 Z18.308 ;added 20201018 
T7 P7 Z48.9277 ;added 20201018 
T13 P13 Z23.3396 ;added 20201018 
T9 P9 Z136.938 ;added 20201018 
T26 P26 Z46.0525 ;added 20201018 
T20 P20 Z25.3548 ;added 20201018 
T6 P6 Z29.3478 ;added 20201018 
T23 P23 Z39.4709 ;added 20201018 
T32 P32 Z30.2968 ;added 20201031 
T21 P21 Z44.5198 ;added 20201031 
T33 P33 Z29.8716 ;added 20201101 
T24 P24 Z18.9151 ;added 20201117 
T34 P34 Z50.8809 ;added 20201117 
T35 P35 Z52.3278 ;added 20201117 
T36 P36 Z32.3881 ;added 20201117 
T42 P42 Z152.786 ;added 20201121 
T43 P43 Z43.73 ;added 20201121 
T44 P44 Z33.4183 ;added 20201121 
T45 P45 Z22.7629 ;added 20201121 
T46 P46 ;added 20201121 
T47 P47 ;added 20201121 
T48 P48 Z143.249 ;added 20201121 
T49 P49 Z13.224 ;added 20201121 
T50 P50 Z45.906 ;added 20201121 
T12 P12 Z22.4303 ;added 20201121 
T38 P38 Z22.709 ;added 20201121 
T39 P39 Z19.9274 ;added 20201121 
T40 P40 Z54.0209 ;added 20201121 
T41 P41 Z31.2569 ;added 20201121 
T18 P18 Z26.2335 ;added 20201205 
T31 P31 Z68.1888 ;added 20210129 
T801 P801 Z12 D10 ;added 20210206 
T29 P29 Z22.0958 ;added 20210210 
T808 P808 ;added 20210210 
T5 P5 Z16.8998 ;added 20210220 
T52 P52 Z135.015 ;added 20210220 
T51 P51 Z147.035 ;added 20210220 
T80 P80 Z13.2013 ;added 20210220 
T8 P8 Z30.0747 ;added 20210425 
T54 P54 Z170.018 ;added 20210425 
T111 P111 Z19.7362 ;added 20210425 
T81 P81 Z22.2683 ;added 20210425 
T17 P17 Z45.4752 ;added 20210430 
T19 P19 Z31.0564 ;added 20210430 
T98 P98 Z76.9685 ;added 20210506 
T97 P97 ;Added 20210511 
